EntrezID	GeneSymbol	Zuber_Essential_new	GeneAliases	Chromosom
2967	GTF2H3	essential_core	BTF2|P34|TFB4|TFIIH	12q24.31
2972	BRF1	essential_core	BRF|BRF-1|CFDS|GTF3B|HEL-S-76p|TAF3B2|TAF3C|TAFIII90|TF3B90|TFIIIB90|hBRF	14q32.33
2975	GTF3C1	essential_core	TFIIIC|TFIIIC220|TFIIICalpha	16p12.1
2987	GUK1	essential_core	GMK	1q42.13
3028	HSD17B10	essential_core	17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1	Xp11.22
3035	HARS	essential_core	CMT2W|HRS|USH3B	5q31.3
3054	HCFC1	essential_core	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	Xq28
3157	HMGCS1	essential_core	HMGCS	5p12
3183	HNRNPC	essential_core	C1|C2|HNRNP|HNRPC|SNRPC	14q11.2
3190	HNRNPK	essential_core	AUKS|CSBP|HNRPK|TUNP	9q21.32
3191	HNRNPL	essential_core	HNRPL|P/OKcl.14|hnRNP-L	19q13.2
3192	HNRNPU	essential_core	HNRNPU-AS1|HNRPU|SAF-A|SAFA|U21.1|hnRNP U	1q44
3276	PRMT1	essential_core	ANM1|HCP1|HRMT1L2|IR1B4	19q13.33
3309	HSPA5	essential_core	BIP|GRP78|HEL-S-89n|MIF2	9q33.3
3312	HSPA8	essential_core	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	11q24.1
3313	HSPA9	essential_core	CRP40|CSA|EVPLS|GRP-75|GRP75|HEL-S-124m|HSPA9B|MOT|MOT2|MTHSP75|PBP74|SAAN|SIDBA4	5q31.2
3376	IARS	essential_core	GRIDHH|IARS1|ILERS|ILRS|IRS|PRO0785	9q22.31
3476	IGBP1	essential_core	ALPHA-4|IBP1	Xq13.1
3619	INCENP	essential_core	-	11q12.3
3692	EIF6	essential_core	CAB|EIF3A|ITGB4BP|b(2)gcn|eIF-6|p27(BBP)|p27BBP	20q11.22
